"setting","ARI 1","Dunn 1","ARI2","Dunn2","BIC2","ARI3","Dunn3","BIC3","ARI4","nARI4","Dunn4","nDunn4","ARI5","Dunn5","ARI6","Dunn6"
103,0.790990223203836,0.0268976491298021,0.882792082882386,0.0211989108416217,1209.23097343214,0.901841803418998,0.0324794459161346,-913.93684835198,0.841401473153858,7,0.0327714207419609,7,0.882874390960587,0.0788792596902236,0.808966506882299,0.0186739475244172
104,0.738317357927423,0.0407366644213653,0.864221892746482,0.0665906139700049,1167.16427488285,0.864221892746482,0.0665906139700049,-837.389848664894,0,1,0,1,0.809054636220599,0.0667518979958745,0.738317357927423,0.0407366644213653
105,0.979999686871692,0.129250412806882,1,0.174036731044347,1203.55305659296,1,0.174036731044347,-787.80700906995,0.979999686871692,4,0.129250412806882,4,0.979999686871692,0.129250412806882,0.979999686871692,0.129250412806882
106,0.670802834608949,0.0446266754893481,0.84563079142097,0.0287274759150552,1192.51987476563,0.84562888291358,0.0359366907967911,-906.205431414107,0.773282370952995,9,0.0644238861365336,9,0.755693074682009,0.0679658806873851,0.670802834608949,0.0446266754893481
107,0.606417495256584,0.0862506438729811,0.827236938250739,0.0416660886401591,1190.15029905081,0.809045285923044,0.00999852500971523,-863.19578880929,0.628763226392723,8,0.0414086759090602,1,0.622199935260335,0.0836851877048692,0.606417495256584,0.0862506438729811
108,0.940552786450712,0.0438802553124407,1,0.151343391595585,1204.47404593546,1,0.151343391595585,-826.93491613257,0.960162415854958,1,0.0578443207048796,1,1,0.151343391595585,0.940552786450712,0.0438802553124407
109,1,0.204288591736269,1,0.204288591736269,1248.14114700417,1,0.204288591736269,-908.555577104755,0.902001388976577,1,0.0493850439962719,9,1,0.204288591736269,1,0.204288591736269
110,1,0.237569385532992,1,0.237569385532992,1211.07909634238,1,0.237569385532992,-897.502080181082,1,1,0.237569385532992,1,1,0.237569385532992,1,0.237569385532992
111,1,0.315053237403009,1,0.315053237403009,1247.487735596,1,0.315053237403009,-843.696405085273,0.835046659212665,9,0.0410465725285207,5,1,0.315053237403009,1,0.315053237403009
112,1,0.213849368220172,1,0.213849368220172,1232.6500499659,1,0.213849368220172,-892.40825926181,1,1,0.213849368220172,1,1,0.213849368220172,1,0.213849368220172
113,1,0.233231744694287,1,0.233231744694287,1220.64979753895,1,0.233231744694287,-907.305542584716,1,4,0.233231744694287,4,1,0.233231744694287,1,0.233231744694287
114,1,0.285541330051796,1,0.285541330051796,1179.59256018955,1,0.285541330051796,-797.275603525465,1,6,0.285541330051796,6,1,0.285541330051796,1,0.285541330051796
